Time Table (2023-24-even) ,,,,,,
Batch: B27 (BTECH-First),,,,,,
,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
8:30-9:25,"EPHY111L: B27, B28, (T): Dr. Ayush Garg {216-N-CA}",,"EMAT102L: B27, (T): Ms. Surabhi {115-N-CA}
","EPHY111L: B27, (P): Dr. Subhadeep Mondal {004-A-LA }
",,
9:30-10:25,"EPHY111L: B27, B28, (T): Dr. Sachin Gupta {216-N-CA}
",,,"EPHY111L: B27, (P): Dr. Subhadeep Mondal {004-A-LA }
",,
10:40-11:35,,,"CSET109: B27, (P): Mr. Bhoopendra Kumar {210 B-LA}
","CSET109: B27, (T): Dr. Amit Dwivedi {128-N-CA}
","CSET105: B27, (P): Dr. Shallu Sharma {202b B-LA}
",
11:40-12:35,,,"CSET109: B27, (P): Mr. Bhoopendra Kumar {210 B-LA}
","CSET106: B27, B28, (T): Dr. Shaily {318-N-CA}
","CSET105: B27, (P): Dr. Shallu Sharma {202b B-LA}
",
12:40-1:30,,,,,,
13:30-14:25,"EMAT102L: G4, (L): Dr. Sumit Malik {103-N-LH}
","CSET109: G4, (L): Dr. Dileep Kumar Yadav {102-N-LH}
","EPHY111L: G4, (L): Dr. Sachin Gupta {002-A-LH}
","EPHY111L: G4, (L): Dr. Sachin Gupta {002-A-LH}
",,
14:30-15:25,"CSET109: G4, (L): Dr. Dileep Kumar Yadav {102-N-LH}
","EPHY111L: G4, (L): Dr. Sachin Gupta {104-N-LH}
","EMAT102L: G4, (L): Dr. Sumit Malik {103-N-LH}
","EMAT102L: G4, (L): Dr. Sumit Malik {103-N-LH}
",,
15:40-16:35,"CSET106: G4, (L): Dr. Pallav Shah {102-N-LH}
",,"CSET105: G4, (L): Dr. Abhimanyu bar {102-N-LH}
","CSET105: G4, (L): Dr. Abhimanyu bar {103-N-LH}
","CSET109: G4, (L): Dr. Dileep Kumar Yadav {102-N-LH}
",
16:40-17:35,"CSET105: G4, (L): Dr. Abhimanyu bar {102-N-LH}
",,"CSET106: G4, (L): Dr. Pallav Shah {104-N-LH}
",,"CSET106: G4, (L): Dr. Pallav Shah {102-N-LH}
",
17:40-18:35,,,,,,
